Iteration,Accuracy
1,0.966903073286052
2,0.966903073286052
3,0.966903073286052
4,0.966903073286052
5,0.966903073286052
6,0.966903073286052
7,0.966903073286052
8,0.966903073286052
9,0.966903073286052
10,0.966903073286052
11,0.966903073286052
12,0.966903073286052
13,0.966903073286052
14,0.966903073286052
15,0.966903073286052
16,0.966903073286052
17,0.966903073286052
18,0.966903073286052
19,0.966903073286052
20,0.966903073286052
21,0.966903073286052
22,0.966903073286052
23,0.966903073286052
24,0.966903073286052
25,0.966903073286052
26,0.966903073286052
27,0.966903073286052
28,0.966903073286052
29,0.966903073286052
30,0.966903073286052
