Missingness,Iteration,Accuracy
0.1,2,0.5957446808510638
0.1,1,0.5862884160756501
0.1,3,0.5910165484633569
0.1,4,0.5839243498817966
0.1,5,0.5768321513002365
0.1,6,0.5981087470449172
0.1,7,0.6122931442080378
0.1,8,0.5484633569739953
0.1,10,0.5508274231678487
0.1,9,0.5484633569739953
0.1,11,0.5555555555555556
0.1,12,0.5886524822695035
0.1,13,0.6004728132387707
0.1,14,0.6217494089834515
0.1,16,0.5933806146572104
0.1,15,0.5910165484633569
0.1,17,0.574468085106383
0.1,18,0.574468085106383
0.1,19,0.640661938534279
0.1,20,0.5886524822695035
0.1,21,0.5862884160756501
0.1,22,0.5957446808510638
0.1,23,0.6288416075650118
0.1,24,0.557919621749409
0.1,25,0.5650118203309693
0.1,26,0.5981087470449172
0.1,27,0.508274231678487
0.1,28,0.6004728132387707
0.1,29,0.5721040189125296
0.1,30,0.5981087470449172
0.2,1,0.5200945626477541
0.2,2,0.574468085106383
0.2,3,0.5839243498817966
0.2,4,0.4988179669030733
0.2,5,0.5815602836879432
0.2,6,0.5390070921985816
0.2,7,0.5177304964539007
0.2,8,0.5106382978723404
0.2,9,0.5319148936170213
0.2,10,0.524822695035461
0.2,11,0.5791962174940898
0.2,12,0.6028368794326241
0.2,14,0.5555555555555556
0.2,13,0.5531914893617021
0.2,15,0.5437352245862884
0.2,16,0.5106382978723404
0.2,18,0.5697399527186762
0.2,17,0.524822695035461
0.2,19,0.6217494089834515
0.2,20,0.5319148936170213
0.2,21,0.5768321513002365
0.2,22,0.5460992907801419
0.2,23,0.5839243498817966
0.2,24,0.5059101654846335
0.2,25,0.6099290780141844
0.2,26,0.5957446808510638
0.2,27,0.6099290780141844
0.2,28,0.5177304964539007
0.2,29,0.5295508274231678
0.2,30,0.6052009456264775
0.3,1,0.5224586288416075
0.3,2,0.5153664302600472
0.3,3,0.5271867612293144
0.3,4,0.5295508274231678
0.3,5,0.5390070921985816
0.3,6,0.5697399527186762
0.3,7,0.524822695035461
0.3,8,0.508274231678487
0.3,9,0.5342789598108747
0.3,10,0.5721040189125296
0.3,11,0.5177304964539007
0.3,12,0.5721040189125296
0.3,13,0.5224586288416075
0.3,14,0.5130023640661938
0.3,15,0.5366430260047281
0.3,16,0.541371158392435
0.3,17,0.5224586288416075
0.3,18,0.508274231678487
0.3,19,0.5390070921985816
0.3,20,0.5295508274231678
0.3,21,0.5224586288416075
0.3,22,0.5390070921985816
0.3,23,0.47754137115839246
0.3,24,0.541371158392435
0.3,25,0.5319148936170213
0.3,26,0.524822695035461
0.3,27,0.5508274231678487
0.3,28,0.5366430260047281
0.3,29,0.5319148936170213
0.3,30,0.5177304964539007
0.4,1,0.43498817966903075
0.4,2,0.5035460992907801
0.4,3,0.4799054373522459
0.4,4,0.475177304964539
0.4,5,0.5602836879432624
0.4,6,0.4799054373522459
0.4,7,0.4988179669030733
0.4,8,0.44680851063829785
0.4,9,0.4846335697399527
0.4,10,0.5106382978723404
0.4,11,0.48936170212765956
0.4,12,0.4799054373522459
0.4,13,0.4562647754137116
0.4,14,0.458628841607565
0.4,15,0.5011820330969267
0.4,16,0.44208037825059104
0.4,17,0.4846335697399527
0.4,18,0.48699763593380613
0.4,19,0.5035460992907801
0.4,20,0.4799054373522459
0.4,21,0.5224586288416075
0.4,22,0.4231678486997636
0.4,23,0.49645390070921985
0.4,24,0.5200945626477541
0.4,25,0.44208037825059104
0.4,26,0.5106382978723404
0.4,27,0.5981087470449172
0.4,28,0.5390070921985816
0.4,29,0.48936170212765956
0.4,30,0.425531914893617
