iter	MultiClass
0	1.772470323
1	1.615414449
2	1.501060071
3	1.396121973
4	1.300251643
5	1.23343849
6	1.169851641
7	1.120086052
8	1.066500749
9	1.022646814
10	0.9798173506
11	0.9387787562
12	0.9051251921
13	0.8762846617
14	0.8484222852
15	0.8137527703
16	0.7854257431
17	0.75722765
18	0.7371063953
19	0.7192464168
20	0.7005980907
21	0.6827717655
22	0.6736350297
23	0.6581955196
24	0.6409245209
25	0.6252605471
26	0.6106115594
27	0.5907337978
28	0.5768758344
29	0.5634099619
30	0.5547061613
31	0.5438007637
32	0.5341763273
33	0.5242624066
34	0.5097076058
35	0.5053878928
36	0.4996659779
37	0.4957739033
38	0.489094157
39	0.479468953
40	0.4673085044
41	0.4618426096
42	0.4562917858
43	0.4507460366
44	0.4445715335
45	0.4393404431
46	0.4356358615
47	0.4309055382
48	0.427508865
49	0.4234377987
50	0.4187821674
51	0.4091679058
52	0.4037880197
53	0.3960100227
54	0.394140508
55	0.3864072956
56	0.3834318286
57	0.3789692544
58	0.376878248
59	0.3731374748
60	0.3711193592
61	0.365758988
62	0.362614085
63	0.3594437021
64	0.3566716721
65	0.3507642629
66	0.3478689197
67	0.3440707929
68	0.3391873743
69	0.3358774298
70	0.3329393184
71	0.328949998
72	0.3254658705
73	0.3226260943
74	0.3212208012
75	0.3189854623
76	0.3155521061
77	0.3133223117
78	0.311372902
79	0.3093109335
80	0.3055519788
81	0.3042767574
82	0.2979814503
83	0.2938332838
84	0.2922077746
85	0.2908822027
86	0.288155918
87	0.2869056407
88	0.2820330398
89	0.2769054691
90	0.2735492023
91	0.2678044117
92	0.2654677277
93	0.2648158519
94	0.2636313156
95	0.2571363472
96	0.253757234
97	0.2501636401
98	0.2481470715
99	0.2445110472
100	0.2418545529
101	0.2388534356
102	0.2357207699
103	0.2341530808
104	0.2334396969
105	0.2312981632
106	0.2290427798
107	0.2271732374
108	0.2239898388
109	0.221875882
110	0.2180128156
111	0.2164056612
112	0.2156499725
113	0.2128690735
114	0.2111012681
115	0.2088838786
116	0.2054823087
117	0.2034319591
118	0.2004324595
119	0.1994299383
120	0.1982951839
121	0.1975107369
122	0.1956064177
123	0.194652935
124	0.1919594599
125	0.1904909858
126	0.1897243945
127	0.1873831442
128	0.1864347127
129	0.1853352
130	0.1842932329
131	0.1841370003
132	0.1829249881
133	0.1810835009
134	0.1803224062
135	0.1790323918
136	0.1783342249
137	0.1763083926
138	0.1729661178
139	0.1707284229
140	0.1690178307
141	0.1681174213
142	0.1674755739
143	0.1657958448
144	0.1644269003
145	0.163127525
146	0.1614751741
147	0.1599102562
148	0.1588925133
149	0.1580711602
150	0.1558167014
151	0.1550489189
152	0.1535378447
153	0.1524361388
154	0.150005619
155	0.1498762516
156	0.149207187
157	0.147301759
158	0.1459668528
159	0.1451297923
160	0.14418458
161	0.1437744268
162	0.1426933612
163	0.1418856482
164	0.1411572
165	0.139990293
166	0.1396154795
167	0.1380556888
168	0.1376207708
169	0.1372945122
170	0.1371306251
171	0.1358892899
172	0.1353985512
173	0.1352305885
174	0.1342235057
175	0.1338493876
176	0.1329054815
177	0.1318664071
178	0.1308211579
179	0.1304873684
180	0.1296529433
181	0.1286715094
182	0.1285515172
183	0.1275932104
184	0.1272277468
185	0.1262984078
186	0.1259239386
187	0.1244202041
188	0.1234250452
189	0.1233649241
190	0.1224982109
191	0.1221362474
192	0.1212544804
193	0.1210489182
194	0.120822512
195	0.1201467719
196	0.1199000123
197	0.119726849
198	0.1191794178
199	0.1189511287
200	0.1184744089
201	0.117782754
202	0.1174083826
203	0.1171299779
204	0.116520974
205	0.1154792506
206	0.1140843318
207	0.1134291089
208	0.113161199
209	0.1124985995
210	0.112069523
211	0.1115540063
212	0.1113859047
213	0.1106523643
214	0.1095535364
215	0.1093487379
216	0.1089668315
217	0.1086293285
218	0.1082190495
219	0.1078325015
220	0.1072633608
221	0.1065395398
222	0.1059396378
223	0.1057610083
224	0.1050785059
225	0.1050102699
226	0.1046425429
227	0.1043027432
228	0.1037018826
229	0.1033089089
230	0.1031414315
231	0.1030127328
232	0.1025882089
233	0.1023633969
234	0.1022035446
235	0.1019792376
236	0.101743661
237	0.1011873127
238	0.1010060325
239	0.1006504911
240	0.1004312339
241	0.1002334396
242	0.09961532631
243	0.0993938713
244	0.09809279757
245	0.09776425012
246	0.09731284795
247	0.09684748784
248	0.09610735973
249	0.09583587907
250	0.09558692195
251	0.09443715456
252	0.09326420752
253	0.09258449243
254	0.09243967811
255	0.09231840447
256	0.09198407894
257	0.09182877015
258	0.0915495961
259	0.09122155274
260	0.09060959386
261	0.09040060536
262	0.08987580344
263	0.08968382027
264	0.08907976435
265	0.08893858243
266	0.08855873359
267	0.08835608387
268	0.08799316066
269	0.08737117924
270	0.08670192727
271	0.0862427044
272	0.08589950948
273	0.08554540991
274	0.08549183431
275	0.0852400349
276	0.08501918739
277	0.08452081379
278	0.0844396781
279	0.08427915323
280	0.08408639162
281	0.08375197524
282	0.08362762869
283	0.08341316644
284	0.08332676641
285	0.08317285082
286	0.08288422535
287	0.08264401197
288	0.08236907002
289	0.082312125
290	0.08213916897
291	0.08197278353
292	0.08171503655
293	0.08152504325
294	0.08123022443
295	0.08061764845
296	0.08003107233
297	0.07982960351
298	0.07907664698
299	0.07892029747
300	0.07871035912
301	0.07852068259
302	0.07830183437
303	0.0778083062
304	0.07766557739
305	0.07729764044
306	0.07672228377
307	0.076673304
308	0.0764775459
309	0.07605777307
310	0.07582440602
311	0.07559673436
312	0.07554029133
313	0.07536215739
314	0.07507163155
315	0.07501063798
316	0.07492742349
317	0.07486017408
318	0.07460732238
319	0.07452496156
320	0.07442010517
321	0.07396922756
322	0.07388467723
323	0.07371647178
324	0.0735716207
325	0.07350361165
326	0.07335145568
327	0.07268008023
328	0.07213747318
329	0.071946362
330	0.07168793159
331	0.0712787921
332	0.07121106528
333	0.07066437871
334	0.07060968149
335	0.07014883039
336	0.07008401819
337	0.06994493632
338	0.06981312496
339	0.06963752966
340	0.06956148633
341	0.06950458092
342	0.06936734115
343	0.06923374624
344	0.06880502542
345	0.06875058528
346	0.06842802603
347	0.06823870575
348	0.06808597646
349	0.06740161863
350	0.06706135479
351	0.06679521311
352	0.06668523627
353	0.06660562832
354	0.06651184271
355	0.06648499763
356	0.06594194684
357	0.0657254478
358	0.06567880921
359	0.06550421563
360	0.06540264759
361	0.06526180314
362	0.06516523095
363	0.06511170792
364	0.06501463193
365	0.06487505244
366	0.06476432618
367	0.06467839247
368	0.06456469414
369	0.06447872938
370	0.06427473898
371	0.06423748256
372	0.0641017523
373	0.06383875301
374	0.06361180812
375	0.06354809863
376	0.06337864976
377	0.06321627433
378	0.06300893634
379	0.06271883139
380	0.06259088769
381	0.06227462115
382	0.06221916142
383	0.06217172056
384	0.06210714737
385	0.0618966817
386	0.0615612707
387	0.06115184557
388	0.06103919063
389	0.0609319036
390	0.06084904988
391	0.06072399306
392	0.06052769227
393	0.06023584343
394	0.06017428023
395	0.05996293755
396	0.05984751376
397	0.05971637194
398	0.05963343613
399	0.05928850426
400	0.05908361219
401	0.05898974031
